endTime,trackName,msPlayed,artistId
2023-09-05 14:56,Unforgettable,233864,6vXTefBL93Dj5IqAWq6OTv
2023-09-05 15:00,Safe And Sound,192764,4gwpcMTbLWtBUlOijbVpuu
2023-09-05 15:03,Riptide,204247,10exVja0key0uqUkk6LJRT
2023-09-05 15:07,Day 'N' Nite (Nightmare),221215,0fA0VVWsXO9YnASrzqfmYu
2023-09-05 15:11,Love Never Felt So Good,245984,3fMbdgg4jU18AjLCKBhRSm
2023-09-05 15:15,Flashing Lights,237474,5K4W6rqBFWDnAN6FQUkS6x
2023-09-05 15:19,All The Stars (with SZA),232142,2YZyLoL8N0Wb9xBt1NhZWg
2023-09-05 15:22,This Love,206171,04gDigrS5kc9YWfZHwBETP
2023-09-05 15:27,One More Time,320326,4tZwfgrHOc3mvqYlEYSvVi
2023-09-05 15:29,Pump It Up (Freestyle),117712,3nFkdlSjzX9mRTtwJOzDYB
2023-09-05 15:33,The Spins,195832,4LLpKhyESsyAXpc4laK94U
2023-09-05 15:37,The Hills,242208,1Xyo4u8uXC1ZmMpatF05PJ
2023-09-05 15:40,One Dance,173959,3TVXtAsR1Inumwj472S9r4
2023-09-05 15:43,Hot N Cold,220184,6jJ0s89eD6GaHleKKya26X
2023-09-05 15:46,Crazy,177892,5SbkVQYYzlw1kte75QIabH
2023-09-05 15:49,Lucifer,192034,3nFkdlSjzX9mRTtwJOzDYB
2023-09-05 15:53,goosebumps,243790,0Y5tJX1MQlPlqiwlOH1tJY
2023-09-05 15:58,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",260950,13ubrt8QOOCPljQ2FL1Kca
2023-09-05 16:03,No Role Modelz,292755,6l3HvQ5sa6mXTsMTB19rO5
2023-09-05 16:07,Payphone,231138,04gDigrS5kc9YWfZHwBETP
2023-09-05 16:11,Paradise,278678,4gzpq5DPGxSnKTe4SA8HAU
2023-09-05 16:17,Redbone,326909,73sIBHcqh3Z3NyqHKZ7FOL
2023-09-05 16:20,Numb / Encore,205707,3nFkdlSjzX9mRTtwJOzDYB
2023-09-05 16:23,Treasure,178513,0du5cEVh5yTK9QJze8zA0C
2023-09-05 16:26,Praise The Lord (Da Shine) (feat. Skepta),205010,13ubrt8QOOCPljQ2FL1Kca
