id,name,followers,popularity,uri
62YF0FglEltB3CnVIjoko8,Ingratax,527291,54,spotify:artist:62YF0FglEltB3CnVIjoko8
4SsVbpTthjScTS7U2hmr1X,Arcángel,15139328,83,spotify:artist:4SsVbpTthjScTS7U2hmr1X
6V394G6torkxVfqL39qEgK,All Artist Adella,503,11,spotify:artist:6V394G6torkxVfqL39qEgK
3sFhA6G1N0gG1pszb6kk1m,Wings,1102245,64,spotify:artist:3sFhA6G1N0gG1pszb6kk1m
5NGO30tJxFlKixkPSgXcFE,The Police,6288816,77,spotify:artist:5NGO30tJxFlKixkPSgXcFE
2qFr8w5sWUITRlzZ9kZotF,Jefferson Airplane,1602790,59,spotify:artist:2qFr8w5sWUITRlzZ9kZotF
6wFwvxJkurQPU2UdeD4qVt,The Jungle Giants,264629,57,spotify:artist:6wFwvxJkurQPU2UdeD4qVt
7msgQomCFKFQInbbXlLVf0,Neomyr,25,0,spotify:artist:7msgQomCFKFQInbbXlLVf0
5B6H1Dq77AV1LZWrbNsuH5,Jarabe De Palo,1675967,70,spotify:artist:5B6H1Dq77AV1LZWrbNsuH5
7gG8L3FNYDI6EOtYbOZKC4,Artist Running Club,1766,17,spotify:artist:7gG8L3FNYDI6EOtYbOZKC4
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,5431078,74,spotify:artist:3koiLjNrgRTNbOwViDipeA
1HAO6fqdAGX5CiWxBvhiyv,Lolo OG,116692,61,spotify:artist:1HAO6fqdAGX5CiWxBvhiyv
513t0jZUP0K98C4h7KHtEb,NONONO,58961,46,spotify:artist:513t0jZUP0K98C4h7KHtEb
4xac3zhHlBm5QDxbZeqgeR,Robert Randolph & The Family Band,74991,41,spotify:artist:4xac3zhHlBm5QDxbZeqgeR
06HL4z0CvFAxyc27GXpf02,Taylor Swift,120479329,100,spotify:artist:06HL4z0CvFAxyc27GXpf02
2R21vXR83lH98kGeO99Y66,Anuel AA,37484684,88,spotify:artist:2R21vXR83lH98kGeO99Y66
7Cj4Lsh3tXZjmVnhp8kOyb,Cafe Del Mar Artist - Newbeginning,542,13,spotify:artist:7Cj4Lsh3tXZjmVnhp8kOyb
7F6UYAd22ntlKydoGtPYnm,Braian Leiva,5405,40,spotify:artist:7F6UYAd22ntlKydoGtPYnm
5pughe5rcsOq3GF0utMOs5,DrefQuila,1037261,68,spotify:artist:5pughe5rcsOq3GF0utMOs5
1gqndMPreD7yp1snkBw5k1,BBG Steppaa,56780,43,spotify:artist:1gqndMPreD7yp1snkBw5k1
4jXfFzeP66Zy67HM2mvIIF,Bill Evans,701810,61,spotify:artist:4jXfFzeP66Zy67HM2mvIIF
03GSrqz7SauxZR5JXQvgp7,Cox and Coe,694,17,spotify:artist:03GSrqz7SauxZR5JXQvgp7
6tS7Kh3N3ItYKa4hhy5JSE,Rory Marshall,1924,20,spotify:artist:6tS7Kh3N3ItYKa4hhy5JSE
5kVgcCdPbeUwxBqWxi2Ktl,Luan Pereira,2440380,81,spotify:artist:5kVgcCdPbeUwxBqWxi2Ktl
2CKOmarVWvWqkNWUatHCex,Ana Castela,6968676,81,spotify:artist:2CKOmarVWvWqkNWUatHCex
3CIIaeZuFYrAD6PRVyuO4U,Felipe Amorim,2311502,74,spotify:artist:3CIIaeZuFYrAD6PRVyuO4U
5Znx4PG5UsUitigaJnmZX3,Flora Matos,605760,59,spotify:artist:5Znx4PG5UsUitigaJnmZX3
5sXaGoRLSpd7VeyZrLkKwt,Gregory Alan Isakov,940338,70,spotify:artist:5sXaGoRLSpd7VeyZrLkKwt
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,31613642,80,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC
0H11IrXWhpptE27M8Xll9w,Evin Iris,725,22,spotify:artist:0H11IrXWhpptE27M8Xll9w
13HVLXNw3aIkcbo354xEcS,Fondur,112,10,spotify:artist:13HVLXNw3aIkcbo354xEcS
1IdNwXpBJIXak2tdHmICgT,Art Silver Trio,295,26,spotify:artist:1IdNwXpBJIXak2tdHmICgT
1pTuR132U5b4Rizal2Pr7m,Randy Travis,1794477,65,spotify:artist:1pTuR132U5b4Rizal2Pr7m
7apm9TJQ66v5ykLahf9B3U,Charlie James-Walker,953,48,spotify:artist:7apm9TJQ66v5ykLahf9B3U
2RfscHz3ooemLWvQslMeqm,Glass Trio,4125,53,spotify:artist:2RfscHz3ooemLWvQslMeqm
5nk8TLI3DoGV9Fyaa7V9JL,The Dox Band,335,34,spotify:artist:5nk8TLI3DoGV9Fyaa7V9JL
68d3jHoDqAYLsd7fHhfDKu,Three is a Kind,42,10,spotify:artist:68d3jHoDqAYLsd7fHhfDKu
4NopJ2j5J608OXktrn5IAM,Gillian Spencer Trio,1373,45,spotify:artist:4NopJ2j5J608OXktrn5IAM
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,9043721,78,spotify:artist:6Q192DXotxtaysaqNPy5yR
5q5uMW70FwqROgeYo3ojb8,Electrotastica,278,25,spotify:artist:5q5uMW70FwqROgeYo3ojb8
5szil3lhFSrW575RVEyPle,"Beats Me, Innit?",695,38,spotify:artist:5szil3lhFSrW575RVEyPle
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,1959209,66,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ
3uXwEhmJJ8hkRJS7nE07sw,Mr Argyle,115,37,spotify:artist:3uXwEhmJJ8hkRJS7nE07sw
3kYFawNQVZ00FQbgs4rVBe,Artist Vs Poet,130672,43,spotify:artist:3kYFawNQVZ00FQbgs4rVBe
3xmRTk6mD5NZTBGI05KIZ9,Ny Cic,347,33,spotify:artist:3xmRTk6mD5NZTBGI05KIZ9
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,7726063,80,spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,7012442,81,spotify:artist:2HPaUgqeutzr3jx5a9WyDV
3Me35AWHCGqW4sZ7bWWJt1,Xavi,6262027,78,spotify:artist:3Me35AWHCGqW4sZ7bWWJt1
7uMDnSZyUYNBPLhPMNuaM2,Kenya Grace,528254,69,spotify:artist:7uMDnSZyUYNBPLhPMNuaM2
1G0YV9WooUBjrwDq0Q7EFK,Charlotte Cardin,556277,62,spotify:artist:1G0YV9WooUBjrwDq0Q7EFK
0ynzbXwyCzxicMKHBoOkSH,EKKSTACY,292046,64,spotify:artist:0ynzbXwyCzxicMKHBoOkSH
772hWD0N94gYjnVhrqE7lx,YellowStraps,65721,46,spotify:artist:772hWD0N94gYjnVhrqE7lx
4FAahCBNlbpgoAhVfuUHPD,Dezko,95499,57,spotify:artist:4FAahCBNlbpgoAhVfuUHPD
5kmLM9mSvPHT8SxGS9DqCo,Mauvaise Bouche,4278,35,spotify:artist:5kmLM9mSvPHT8SxGS9DqCo
3K1jFkuCruS7nx1GbWvH8E,Joe Wilson Trio,235,41,spotify:artist:3K1jFkuCruS7nx1GbWvH8E
5jwt0e3bddxJFS0qGhvv9n,Arthur Taylor Trio,225,42,spotify:artist:5jwt0e3bddxJFS0qGhvv9n
1A9o3Ljt67pFZ89YtPPL5X,Snoh Aalegra,1243453,66,spotify:artist:1A9o3Ljt67pFZ89YtPPL5X
5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,1521874,75,spotify:artist:5XKFrudbV4IiuE5WuTPRmT
0cmWgDlu9CwTgxPhf403hb,Bonobo,1402563,64,spotify:artist:0cmWgDlu9CwTgxPhf403hb
027TpXKGwdXP7iwbjUSpV8,The Walters,774568,72,spotify:artist:027TpXKGwdXP7iwbjUSpV8
5wCmhq5J2hPwL2r0eKurxn,cassö,69041,70,spotify:artist:5wCmhq5J2hPwL2r0eKurxn
5sWHDYs0csV6RS48xBl0tH,Two Feet,2029813,70,spotify:artist:5sWHDYs0csV6RS48xBl0tH
3zmfs9cQwzJl575W1ZYXeT,Men I Trust,1924258,70,spotify:artist:3zmfs9cQwzJl575W1ZYXeT
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,4261595,78,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq
3rWZHrfrsPBxVy692yAIxF,WILLOW,2668581,71,spotify:artist:3rWZHrfrsPBxVy692yAIxF
71XRExAcKFmzM0fckCrCvo,Toby Mai,56305,58,spotify:artist:71XRExAcKFmzM0fckCrCvo
3jOstUTkEu2JkjvRdBA5Gu,Weezer,3753278,74,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu
4pnp4w9g30yLfVIAFnZMRd,ACRAZE,133512,65,spotify:artist:4pnp4w9g30yLfVIAFnZMRd
6S3KljEiIOWoLMUyZrkQUc,Marnik,134791,65,spotify:artist:6S3KljEiIOWoLMUyZrkQUc
